"max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","best_nrounds","best_cv_auc","saved_best_nrounds","saved_cv_auc","manual_mean_fold_auc","manual_sd_fold_auc","manual_min_fold_auc","manual_max_fold_auc","repeated_oof_predictions_per_sample","manual_pooled_oof_auc","all_fold_auc_equal_1","Mean_Fold_AUC_Difference","Pooled_OOF_AUC_Difference","Manual_Reproduces_Perfect_Mean","Manual_Reproduces_Perfect_Pooled"
3,0.1,0.5,0.5,1,1,25,1,25,1,0.8965,0.124925487995927,0.35,1,5,0.894162316089226,FALSE,-0.1035,-0.105837683910774,FALSE,FALSE
3,0.1,0,0.5,1,0.8,26,1,26,1,0.8905,0.099321678994907,0.5,1,5,0.88656858092074,FALSE,-0.1095,-0.11343141907926,FALSE,FALSE
3,0.1,0.5,0.5,1,0.8,26,1,26,1,0.8853,0.106510802364869,0.5,1,5,0.883720930232558,FALSE,-0.1147,-0.116279069767442,FALSE,FALSE
2,0.1,0,0.8,1,0.8,29,1,29,1,0.89095,0.115653522405926,0.3,1,5,0.887992406264832,FALSE,-0.10905,-0.112007593735168,FALSE,FALSE
2,0.1,0.5,0.8,1,0.8,29,1,29,1,0.88895,0.121588224876307,0.25,1,5,0.884670147128619,FALSE,-0.11105,-0.115329852871381,FALSE,FALSE
3,0.05,0,0.8,1,0.8,29,1,29,1,0.87755,0.118026382816794,0.3,1,5,0.879449454200285,FALSE,-0.12245,-0.120550545799715,FALSE,FALSE
3,0.05,0.5,0.8,1,0.8,29,1,29,1,0.88135,0.112203361748903,0.35,1,5,0.877551020408163,FALSE,-0.11865,-0.122448979591837,FALSE,FALSE
2,0.1,0,0.5,1,0.8,35,1,35,1,0.90105,0.110062702444505,0.4,1,5,0.897959183673469,FALSE,-0.09895,-0.102040816326531,FALSE,FALSE
2,0.1,0.5,0.5,1,0.8,35,1,35,1,0.89945,0.109601888576757,0.4,1,5,0.896060749881348,FALSE,-0.10055,-0.103939250118652,FALSE,FALSE
3,0.05,0,0.5,1,1,37,1,37,1,0.88285,0.136520173062669,0.25,1,5,0.883720930232558,FALSE,-0.11715,-0.116279069767442,FALSE,FALSE
3,0.05,0.5,0.5,1,1,37,1,37,1,0.8843,0.139173984491297,0.2,1,5,0.881347887992406,FALSE,-0.1157,-0.118652112007594,FALSE,FALSE
2,0.1,0,0.8,1,1,38,1,38,1,0.8754,0.116495773769362,0.3,1,5,0.878974845752254,FALSE,-0.1246,-0.121025154247746,FALSE,FALSE
2,0.1,0.5,0.8,1,1,38,1,38,1,0.87595,0.116203649965507,0.3,1,5,0.877076411960133,FALSE,-0.12405,-0.122923588039867,FALSE,FALSE
3,0.05,0,0.8,1,1,39,1,39,1,0.8646,0.134790426899218,0.25,1,5,0.864261983863313,FALSE,-0.1354,-0.135738016136687,FALSE,FALSE
3,0.05,0.5,0.8,1,1,39,1,39,1,0.861,0.134062314173793,0.25,1,5,0.864736592311343,FALSE,-0.139,-0.135263407688657,FALSE,FALSE
2,0.1,0,0.5,1,1,42,1,42,1,0.8877,0.110467282071042,0.35,1,5,0.888941623160892,FALSE,-0.1123,-0.111058376839108,FALSE,FALSE
2,0.1,0.5,0.5,1,1,42,1,42,1,0.88795,0.111293060916498,0.35,1,5,0.891314665401044,FALSE,-0.11205,-0.108685334598956,FALSE,FALSE
3,0.05,0,0.5,1,0.8,45,1,45,1,0.91045,0.106736957335426,0.35,1,5,0.89890840056953,FALSE,-0.08955,-0.10109159943047,FALSE,FALSE
3,0.05,0.5,0.5,1,0.8,45,1,45,1,0.9055,0.107693821473999,0.35,1,5,0.897959183673469,FALSE,-0.0945,-0.102040816326531,FALSE,FALSE
2,0.05,0,0.8,1,0.8,48,1,48,1,0.8792,0.11332907655071,0.45,1,5,0.877551020408163,FALSE,-0.1208,-0.122448979591837,FALSE,FALSE
2,0.05,0.5,0.8,1,0.8,48,1,48,1,0.8802,0.114469539661012,0.45,1,5,0.877551020408163,FALSE,-0.1198,-0.122448979591837,FALSE,FALSE
2,0.05,0,0.5,1,0.8,71,1,71,1,0.89925,0.10267127303254,0.45,1,5,0.897959183673469,FALSE,-0.10075,-0.102040816326531,FALSE,FALSE
2,0.05,0.5,0.5,1,0.8,71,1,71,1,0.89805,0.110284060405808,0.4,1,5,0.896060749881348,FALSE,-0.10195,-0.103939250118652,FALSE,FALSE
2,0.05,0,0.8,1,1,73,1,73,1,0.8775,0.120382044901613,0.3,1,5,0.878974845752254,FALSE,-0.1225,-0.121025154247746,FALSE,FALSE
2,0.05,0.5,0.8,1,1,73,1,73,1,0.87575,0.11848345488562,0.3,1,5,0.877076411960133,FALSE,-0.12425,-0.122923588039867,FALSE,FALSE
2,0.05,0,0.5,1,1,91,1,91,1,0.88985,0.117740645886956,0.3,1,5,0.892263882297105,FALSE,-0.11015,-0.107736117702895,FALSE,FALSE
2,0.05,0.5,0.5,1,1,91,1,91,1,0.8937,0.116279747126646,0.3,1,5,0.893213099193166,FALSE,-0.1063,-0.106786900806834,FALSE,FALSE
